Warming (2deg-years),Utility loss (%CBGE),Mitigation cost (%CBGE),Damage cost (%CBGE),Abat(2030)/.5degC (%),Abat(2050)/.5degC (%),95th damage cost (%BGE),95th max temp (degC)
158.39,1.74,0.55,1.18,27.23,20.23,1.66,4.28
159.42,1.73,0.54,1.18,27.66,20.44,1.65,4.26
160.45,1.73,0.54,1.19,27.27,19.92,1.67,4.28
161.39,1.73,0.53,1.19,26.96,19.78,1.68,4.32
162.13,1.72,0.53,1.19,29.51,20.67,1.64,4.26
162.83,1.72,0.53,1.18,31.56,21.01,1.62,4.21
163.96,1.72,0.53,1.18,33.30,21.41,1.59,4.16
165.10,1.72,0.53,1.18,35.51,21.91,1.57,4.15
155.40,1.74,0.57,1.17,27.50,20.78,1.63,4.23
156.50,1.74,0.56,1.17,28.16,20.90,1.63,4.23
157.48,1.74,0.55,1.18,27.68,20.79,1.65,4.26
158.23,1.73,0.55,1.18,27.32,20.76,1.63,4.24
159.36,1.73,0.55,1.17,32.60,21.58,1.59,4.18
159.50,1.73,0.55,1.17,32.54,21.44,1.58,4.15
160.78,1.72,0.55,1.17,34.74,22.40,1.58,4.15
152.47,1.75,0.58,1.16,31.06,21.77,1.62,4.22
153.46,1.74,0.58,1.16,30.24,21.62,1.62,4.23
154.49,1.74,0.57,1.16,29.98,21.10,1.61,4.20
155.49,1.74,0.57,1.16,31.95,21.95,1.58,4.14
156.02,1.73,0.57,1.16,33.41,21.99,1.57,4.15
156.70,1.73,0.57,1.16,35.24,22.82,1.58,4.16
148.47,1.76,0.61,1.15,29.53,22.32,1.61,4.19
149.44,1.76,0.60,1.15,30.51,22.15,1.60,4.18
150.50,1.75,0.60,1.15,30.48,22.40,1.60,4.19
151.50,1.75,0.59,1.15,29.59,21.75,1.59,4.16
152.32,1.74,0.59,1.15,33.11,22.87,1.57,4.14
153.06,1.74,0.59,1.15,35.22,22.98,1.54,4.10
154.45,1.74,0.59,1.15,37.64,23.73,1.54,4.08
145.42,1.76,0.63,1.13,32.47,23.54,1.57,4.14
146.48,1.76,0.62,1.14,31.58,23.10,1.58,4.16
